requirement_id,release,priority,flow_id,primary_screens,transition_domains,permission_resources,operation_ids,data_entities,audit_events,test_ids,external_gates,rollout_flag,owner,primary_actor
REQ-ACQ-01,Pilot,P0,F01,S01|S02,none,none,submitPilotLead,none,landing_viewed|demo_workspace_opened|pilot_form_started|pilot_form_submitted,T-LEAD-001|T-API-001|T-PRIVACY-001,none,public_pilot_form,product_engineering,owner
REQ-ID-01,Pilot-GA,P0/P1,F02|F14,S03|S04|S09|S32,invitation|membership|ownership_transfer,members,listInvitations|createInvitation|acceptInvitation|reissueInvitation|revokeInvitation|listMemberships|updateMembership|previewMemberOffboarding|transitionMembership|listOwnershipTransfers|requestOwnershipTransfer|decideOwnershipTransfer,invitations|invitation_project_scopes|invitation_location_scopes|memberships|membership_project_scopes|membership_location_scopes|ownership_transfers|member_offboarding_previews|member_offboarding_preview_items,team_invitation_sent|team_invitation_accepted|team_invitation_revoked|member_offboarding_previewed|membership_changed|ownership_transfer_requested|ownership_transfer_completed,T-AUTH-001|T-INVITATION-001|T-INVITE-SCOPE-001|T-RLS-001|T-OFFBOARD-001|T-OFFBOARD-MULTI-001|T-OWNERSHIP-001|T-API-001|T-PREVIEW-001,none,pilot_identity_ga_owner_transfer,engineering,owner
REQ-ORG-01,Pilot,P0,F03,S05|S06,organization|project,organization|project,createOrganization|getOrganization|updateOrganization|listProjects|createProject|getProject|updateProject|listLocations|createLocation,organizations|organization_settings|legal_entities|projects|locations,workspace_created|organization_updated|project_created|project_updated|location_created,T-ORG-001|T-PROJECT-001|T-TENANT-001|T-CONCURRENCY-001|T-SCHEMA-001,none,pilot_workspace,product_engineering,owner
REQ-IMPORT-01,Pilot,P0,F04,S07,upload_intent|import_job|import_row|contract|contract_version,contract,createUploadGrant|completeUpload|createEstimateImport|getEstimateImport|listEstimateImportRows|confirmEstimateImport|getJob,upload_intents|import_files|import_jobs|import_row_results|import_diffs|contract_versions|work_items,upload_grant_issued|upload_completed|estimate_import_started|estimate_import_validated|estimate_import_confirmed|estimate_import_failed,T-UPLOAD-001|T-JOB-001|T-IMPORT-001|T-IMPORT-002|T-CONTRACT-001|T-RECON-001,V-001,pilot_import,product_engineering,pto_manager
REQ-WORK-01,Pilot,P0,F04|F06,S13|S14|S24|S25,work_item,work_item,createWorkItem,work_items,work_item_created,T-WORK-COMMAND-001|T-RLS-001|T-IDEMP-001,none,pilot_work_commands,product_engineering,pto_manager
REQ-RULE-01,Pilot,P0,F05,S08,rule_version|requirement,rule,previewRuleImpact|publishProjectRuleVersion|getRequirement,rule_packs|rule_pack_versions|evidence_rule_versions|rule_assignments|work_item_requirements|requirement_evaluations,rule_impact_previewed|rules_published|readiness_changed,T-RULE-001|T-RULE-002|T-READY-001|T-STATE-001,V-001,pilot_rules,product_engineering,pto_manager
REQ-CAPTURE-01,Pilot,P0,F06,S24|S25|S26|S27|S28,mobile_capture|upload_intent|capture_session|work_assignment,evidence|quantity_entry|work_item,listWorkItems|issueWorkAssignmentExecutionBundle|createUploadGrant|completeUpload|submitCaptureSession|getCaptureSession,upload_intents|capture_sessions|evidence_objects|quantity_entries|sync_operations|offline_authorization_leases,assignment_opened|work_assignment_changed|assignment_execution_bundle_issued|capture_started|upload_grant_issued|upload_completed|capture_saved_local|capture_submitted|capture_sync_failed|sync_conflict_detected,T-MOBILE-001|T-CAPTURE-001|T-CAPTURE-002|T-SYNC-001|T-SYNC-002|T-UPLOAD-002|T-DEVICE-001|T-STORAGE-001|T-OFFLINE-AUTH-001,V-004|V-009,pilot_capture,mobile_engineering,foreman
REQ-REVIEW-01,Pilot,P0,F07,S15|S16,capture_session,review,listReviewQueue|getCaptureSession|decideCaptureSession,review_decisions|capture_sessions|work_item_requirements,review_returned|review_approved|readiness_changed,T-REVIEW-001|T-REVIEW-002|T-SOD-001|T-CONCURRENCY-001,none,pilot_review,product_engineering,internal_reviewer
REQ-EVIDENCE-REQUEST-01,Pilot,P0,F06|F07,S10|S14|S24,evidence_request,evidence_request,createEvidenceRequest|listEvidenceRequests|cancelEvidenceRequest,evidence_requests,evidence_request_created|evidence_request_resolved,T-EVIDENCE-REQUEST-001|T-NOTIFY-001|T-RLS-001,none,pilot_evidence_requests,product_engineering,pto_manager
REQ-READY-01,Pilot,P0,F08|F21,S10|S14|S40,requirement|requirement_occurrence|readiness,readiness|occurrence,getProjectReadiness|getRequirement|createOccurrenceWaiver,work_item_requirements|requirement_occurrences|requirement_evaluations|requirement_waivers|readiness_snapshots,readiness_changed|readiness_override_created,T-READY-001|T-READY-002|T-WAIVER-001|T-SUBJECT-001|T-STATE-001,none,pilot_readiness,product_engineering,pto_manager
