event,kind,payload_version,aggregate,idempotency_effect_key,producer,consumers,milestone
workspace.created,domain_event,1,workspace,consumer + outbox_event_id + effect_kind,bff.workspaces.create,notification_creator,v0.1-M1
invitation.issued,domain_event,1,workspace,notification: recipient + kind + source fact,bff.invitations.create,notification_creator email_delivery,v0.1-M1
invitation.accepted,domain_event,1,workspace,consumer + outbox_event_id + effect_kind,bff.invitations.accept,notification_creator,v0.1-M1
project.created,domain_event,1,project,consumer + outbox_event_id + effect_kind,bff.projects.create,projection_rebuilder,v0.1-M1
contract.created,domain_event,1,contract,consumer + outbox_event_id + effect_kind,bff.contracts.create,projection_rebuilder,v0.1-M1
contract_version.published,domain_event,1,contract_version,projection: kind + watermark + algorithm + scope. CORRECTED 2026-08-06: this row recorded the manual-baseline producer as not yet catalogued — contract_versions.publish is a v0.1-M1 row of technical/openapi/scope-v0.1.csv and is the ADR-006 decision 2 route. Both producers refuse a version with no bound rule-version set (INV-083),bff.contract_versions.publish bff.import_batches.publish,projection_rebuilder notification_creator,v0.1-M1
work_assignment.created,domain_event,1,work_assignment,consumer + outbox_event_id + effect_kind,bff.assignments.create,notification_creator,v0.1-M2
progress_entry.recorded,domain_event,1,progress_entry,projection: kind + watermark + algorithm + scope,bff.progress.record,projection_rebuilder,v0.1-M2
progress_adjustment.recorded,domain_event,1,progress_entry,projection: kind + watermark + algorithm + scope,bff.progress.adjust,projection_rebuilder,v0.1-M2
evidence.available,domain_event,1,evidence_object,inspection: upload_intent + content_hash + policy_version,bff.upload_intents.finalize,projection_rebuilder notification_creator,v0.1-M2
evidence.scan_blocked,domain_event,1,upload_intent,inspection: upload_intent + content_hash + policy_version,worker.evidence_inspector,notification_creator,v0.1-M2
upload_intent.orphaned,domain_event,1,upload_intent,purge: storage_object + purge_policy_generation,bff.upload_intents.finalize,worker.orphan_purge,v0.1-M2
storage_orphan.purged,domain_event,1,upload_intent,purge: storage_object + purge_policy_generation,worker.orphan_purge,operations_alerting,v0.1-M2
requirement_rule_version.published,domain_event,1,requirement_rule_version,consumer + outbox_event_id + effect_kind. Producer id corrected 2026-08-06 — bff.requirement_rules.publish exists in NEITHER scope CSV: ADR-006 decision 4.1 removes requirement_rules from v0.1 and the route was renamed to requirement_rule_versions.publish (version-0.1.md §What left v0.1). Publication rejects any intervention_type other than hold and any hold that is not blocks_stage_closure (INV-082),bff.requirement_rule_versions.publish,projection_rebuilder,v0.1-M1
contract_version.rules_bound,domain_event,1,contract_version,projection: kind + watermark + algorithm + scope,bff.contract_versions.bind_rules,projection_rebuilder,v0.1-M1
requirement_occurrence.created,domain_event,1,requirement_occurrence,consumer + outbox_event_id + effect_kind. Milestone corrected 2026-08-06 from v0.1-M2: its only producer requirement_occurrences.create is a v0.2 row of scope-v0.2.csv — a hand-made obligation is also a hand-removed one and the only way an occurrence exists in v0.1 is materialisation at assignment creation (the requirement_occurrence.materialized row below),bff.requirement_occurrences.create,projection_rebuilder,v0.2
requirement_occurrence.materialized,domain_event,1,requirement_occurrence,consumer + outbox_event_id + effect_kind. Materialisation merged from old M3 into the phone milestone by ADR-006 decision 3; the rule predicate is (work type; stage) and the uncovered-line dry run still fails closed (INV-072),bff.assignments.create,projection_rebuilder notification_creator,v0.1-M2
requirement_exception.recorded,domain_event,1,requirement_occurrence,consumer + outbox_event_id + effect_kind,bff.requirement_exceptions.create,projection_rebuilder,v0.1-M3
requirement_notice.sent,domain_event,1,requirement_notice,notification: recipient + kind + source fact,bff.requirement_notices.create,notification_creator email_delivery projection_rebuilder,v0.2
notice_attendance.recorded,domain_event,1,requirement_notice,projection: kind + watermark + algorithm + scope,bff.notice_attendance.record,projection_rebuilder,v0.2
requirement_evidence_decision.recorded,domain_event,1,requirement_occurrence,projection: kind + watermark + algorithm + scope,bff.evidence_decisions.create bff.external.occurrence_decision_submit,projection_rebuilder notification_creator,v0.1-M3
work_stage.closed,domain_event,1,work_stage,projection: kind + watermark + algorithm + scope,bff.stage_closures.create,projection_rebuilder notification_creator,v0.1-M3
unevidenced_closure.recorded,domain_event,1,work_stage,projection: kind + watermark + algorithm + scope,bff.unevidenced_closures.create,projection_rebuilder notification_creator operations_alerting,v0.2
unevidenced_closure.cleared,domain_event,1,work_stage,projection: kind + watermark + algorithm + scope,bff.unevidenced_closures.clear,projection_rebuilder notification_creator,v0.2
internal_review.decided,domain_event,1,review_target_set,projection: kind + watermark + algorithm + scope,bff.internal_reviews.decide,projection_rebuilder notification_creator,v0.2
package_version.frozen,domain_event,1,package_version,artifact: version + kind + renderer + config,bff.package_versions.freeze,worker.artifact_renderer projection_rebuilder,v0.2
statutory_act_version.frozen,domain_event,1,statutory_act_version,artifact: version + kind + renderer + config. In v0.1 the freeze is pinned by the stage closure rather than by a package version (ADR-006 decision 4.5; INV-084). CORRECTED 2026-08-06: the act delivery path is not a gap — statutory_acts.render is a v0.1-M4 member-plane query of scope-v0.1.csv and is the only artifact surface v0.1 has; what has no v0.1 form is the SERVICE-plane artifact entity because package_artifacts is v0.2 so worker.artifact_renderer consumes this event only from v0.2,bff.statutory_act_versions.freeze,projection_rebuilder,v0.1-M4
package_artifact.rendered,domain_event,1,package_artifact,artifact: version + kind + renderer + config,worker.artifact_renderer,notification_creator,v0.2
package_head.advanced,domain_event,1,package_scope_head,projection: kind + watermark + algorithm + scope,bff.packages.head_advance,projection_rebuilder notification_creator,v0.2
package.submitted,domain_event,1,package_version,consumer + outbox_event_id + effect_kind,bff.package_submissions.create,projection_rebuilder notification_creator,v0.2
external_grant.issued,domain_event,1,external_access_grant,token-free; delivery is the one-time post-commit protocol (INV-044); one scope kind per grant — package version or requirement occurrence (INV-074); in v0.1 only the requirement-occurrence arc exists and bff.occurrence_grants.issue is its only producer,bff.external_grants.issue bff.occurrence_grants.issue,notification_creator,v0.1-M5
external_grant.revoked,domain_event,1,external_access_grant,consumer + outbox_event_id + effect_kind,bff.external_grants.revoke_reissue,notification_creator,v0.1-M5
delivery_attention.raised,domain_event,1,external_access_grant,notification: recipient + kind + source fact. Producer corrected 2026-08-06 — bff.external_grants.issue is a v0.2 row of scope-v0.2.csv and belongs to the package-version arc; in v0.1 only the requirement-occurrence arc exists (INV-074),bff.occurrence_grants.issue bff.external_grants.issue,notification_creator operations_alerting,v0.1-M5
external_decision_batch.recorded,domain_event,1,external_decision_batch,projection: kind + watermark + algorithm + scope. Milestone and producer corrected 2026-08-06 — external_decision_batches entered v0.1-M5 by owner decision (ADR-006 decision 4 amendment note) and its v0.1 write path is bff.external.occurrence_decision_submit (scope-v0.1.csv:58); bff.external.decisions_submit is a v0.2 row of scope-v0.2.csv and belongs to the package-version arc. Left at v0.2 the v0.1 batch write would raise no event,bff.external.occurrence_decision_submit bff.external.decisions_submit,projection_rebuilder notification_creator,v0.1-M5
prior_acceptance.referenced,domain_event,1,package_version,consumer + outbox_event_id + effect_kind,bff.package_versions.freeze,projection_rebuilder,v0.2
audit.member_command,audit_action,1,per-command target,append-only audit row per command,bff,none (accountability evidence only),v0.0
audit.external_command,audit_action,1,per-command target,append-only audit row with grant/session identity,bff.external_plane,none (accountability evidence only),v0.1-M5
audit.service_command,audit_action,1,per-job target,append-only audit row with service principal + causation,workers,none (accountability evidence only),v0.0
audit.security_signal,audit_action,1,security scope,append-only signal without sensitive row contents,bff workers,operations_alerting,v0.1-M5
delivery.notification_email,delivery_topic,1,notification,delivery: notification + channel + generation,worker.notification_deliver,email_provider_adapter,v0.0
delivery.protected_link_email,delivery_topic,1,external_access_grant,one-time in-memory post-commit send; NEVER outbox/job (INV-044). Producer corrected 2026-08-06 — this is the ONLY delivery path ADR-006 step 5 has and it was attributed to bff.external_grants.issue which is a v0.2 row of scope-v0.2.csv; in v0.1 the personal link is issued by bff.occurrence_grants.issue,bff.occurrence_grants.issue bff.external_grants.issue,email_provider_adapter,v0.1-M5
