code,http_status,retryable,user_action,log_policy,producer,ui_surface
OWNERSHIP_TRANSFER_CONFLICT,409,false,refresh_owner_and_transfer_state,organization_transfer_ids_and_versions_only,transition:ownership_transfer,inline_conflict_notice
OWNERSHIP_TRANSFER_EXPIRED,410,false,start_new_ownership_transfer,organization_and_expired_transfer_id_only,transition:ownership_transfer,toast
BILLING_INVOICE_CONFLICT,409,false,refresh_invoice_and_reconciliation,organization_invoice_ids_state_and_versions_only,transition:saas_invoice,inline_conflict_notice
AUTH_REQUIRED,401,false,sign_in,no_token,pipeline:authentication,reauth_dialog
AUTH_STEP_UP_REQUIRED,401,false,re_authenticate,no_secret,pipeline:recent_auth_step_up,reauth_dialog
AUTH_MFA_REQUIRED,401,false,complete_mfa,no_otp,pipeline:mfa_enforcement,reauth_dialog
MEMBERSHIP_INACTIVE,403,false,contact_org_admin,ids_only,pipeline:membership_resolution,permission_banner
SCOPE_DENIED,403,false,request_scope,no_resource_content,pipeline:tenant_scope_check,permission_banner
ENTITLEMENT_REQUIRED,403,false,view_plan_or_contact_owner,feature_and_plan_version,pipeline:entitlement_check,permission_banner
ENTITLEMENT_LIMIT_REACHED,409,false,archive_or_upgrade,meter_bucket_no_sensitive_value,pipeline:entitlement_limit_check,inline_conflict_notice
RESOURCE_ARCHIVED,409,false,view_read_only_or_restore,resource_id,pipeline:lifecycle_state_check,inline_conflict_notice
VERSION_CONFLICT,409,true,refresh_compare_retry,versions_only,transition:contract_version/variation,inline_stale_banner
IDEMPOTENCY_CONFLICT,409,false,new_key_or_reuse_original,request_hashes_only,pipeline:idempotency_layer,inline_conflict_notice
VALIDATION_FAILED,422,false,correct_fields,field_codes_no_values,pipeline:request_validation,inline_field_error
IMPORT_FILE_UNSUPPORTED,422,false,use_template_or_supported_format,file_type_size_bucket,guard:import_file_validation,inline_field_error
IMPORT_VALIDATION_FAILED,422,false,review_row_errors,error_codes_no_row_content,transition:contract_version,inline_field_error
UPLOAD_UNAVAILABLE,503,true,retry_later,provider_code_no_url,transition:mobile_capture,error_banner_with_correlation
UPLOAD_CHECKSUM_MISMATCH,422,true,retry_part,hash_prefix_not_full_if_policy,transition:upload_intent,inline_field_error
SCAN_PENDING,409,true,wait,object_id_state,guard:media_scan_gate,inline_conflict_notice
SCAN_REJECTED,422,false,recapture_or_contact_support,reason_code_no_filename,guard:media_scan_gate,inline_field_error
SYNC_CONFLICT,409,false,open_conflict_resolution,entity_versions,transition:mobile_capture,inline_conflict_notice
REVIEW_CONFLICT,409,false,refresh_decision_timeline,decision_ids,transition:capture_session,inline_conflict_notice
READINESS_OVERRIDE_DENIED,403,false,resolve_blocker_or_request_manager,requirement_id_reason_code,transition:requirement/requirement_occurrence,permission_banner
PERIOD_LOCKED,409,true,view_active_close,lock_owner_label_not_email,transition:period/period_close_cycle,inline_conflict_notice
PACKAGE_BLOCKED,422,false,resolve_listed_blockers,counts_codes,transition:package/period,inline_field_error
PACKAGE_GENERATION_FAILED,500,true,retry_or_contact_support,template_renderer_correlation_no_content,transition:package,error_banner_with_correlation
EXTERNAL_SHARE_INVALID,404,false,request_new_link,no_existence_detail,transition:external_share,page_empty_state
