state_machine,from_state,to_state,trigger,guard_or_rule,source_document
workspace.status,trial,active,activation command,workspace.manage capability,docs/architecture/data-model.md
workspace.status,active,suspended,governance/operations suspension,authorized command with audit,docs/architecture/data-model.md
workspace.status,suspended,active,reinstatement command,authorized command with audit,docs/architecture/data-model.md
workspace.status,active,closing,manual closure procedure start,approved closure procedure incl export offer (EXTERNAL GATE),docs/architecture/files-and-storage.md
workspace.status,closing,closed,closure completion,dry-run inventory and recorded outcome,docs/architecture/files-and-storage.md
membership.status,active,suspended,suspension command,cannot suspend the last active owner (INV-017),docs/architecture/tenancy-and-security.md
membership.status,suspended,active,reinstatement command,members.manage,docs/architecture/tenancy-and-security.md
membership.status,active,ended,membership end command,cannot end the last active owner (INV-017),docs/architecture/tenancy-and-security.md
invitation.status,pending,accepted,accept command,valid unexpired token verifier; single use,docs/superpowers/specs/2026-07-30-goproceed-canonical-design.md
invitation.status,pending,revoked,revoke command,members.manage,docs/superpowers/specs/2026-07-30-goproceed-canonical-design.md
invitation.status,pending,expired,expiry sweep,expires_at passed,docs/superpowers/specs/2026-07-30-goproceed-canonical-design.md
contract_version.status,draft,published,explicit publish command — contract_versions.publish for a hand-typed baseline (ADR-006 decision 2) or import_batches.publish for the frozen importer,contracts.edit or imports.publish capability; REFUSED unless the draft version carries a bound requirement rule-version set — no baseline is published in v0.1 without one and both routes refuse on the same condition (ADR-006 decision 3; INV-083); the binding is pinned in the same commit and never acquired later (INV-080); discrepancies resolved (INV-054); party snapshots pinned,docs/domain/domain-model.md
import_batch.status,created,parsing,validate command,files staged with verified integrity and scan,docs/architecture/files-and-storage.md
import_batch.status,parsing,parsed,safe parse completes,resource limits held; formulas inert (INV-016),docs/architecture/files-and-storage.md
import_batch.status,parsing,failed,parser limit/format failure,fail closed with named errors,docs/architecture/files-and-storage.md
import_batch.status,parsed,mapping,mapping selection,mapping definition/version recorded,docs/architecture/files-and-storage.md
import_batch.status,mapping,validated,row validation completes,per-row results recorded,docs/architecture/files-and-storage.md
import_batch.status,validated,preview_ready,preview build,normalized preview persisted,docs/architecture/files-and-storage.md
import_batch.status,preview_ready,published,explicit publish command,no blocking rows; tolerance respected or resolved (INV-054),docs/architecture/files-and-storage.md
import_batch.status,preview_ready,abandoned,abandon command,imports.manage,docs/architecture/files-and-storage.md
assignment.status,draft,active,activate command,assignments.manage,docs/domain/execution-and-evidence.md
project.status,draft,active,activate command,project.admin,Task 1 project field channel
project_field_channel.state,unbound,connected,Telegram binding creation (Task 4),service integration,Task 1 project field channel
project_field_channel.state,connected,active,project activation,project.admin,Task 1 project field channel
project_field_channel.state,active,unhealthy,Telegram health check failure,service integration,Task 1 project field channel
project_field_channel.state,unhealthy,active,Telegram health check recovery,service integration,Task 1 project field channel
assignment.status,active,paused,pause command,assignments.manage,docs/domain/execution-and-evidence.md
assignment.status,paused,active,resume command,assignments.manage,docs/domain/execution-and-evidence.md
assignment.status,active,completed,complete command,assignments.manage,docs/domain/execution-and-evidence.md
assignment.status,active,cancelled,cancel command,history retained; progress facts unaffected,docs/domain/execution-and-evidence.md
upload_intent.status,intent_authorized,staged,bytes received on the intent-bound key,single staging attempt key; no overwrite (INV-045); reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,staged,integrity_verified,server verifies size and hash,server-observed values match the intent; reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
