domain,from_state,command,to_state,actor,guards,side_effects,reversal,error_code
organization,trial,activate,active,billing_operator_or_system,payment_or_pilot_grant,entitlements_started,suspend,ORG_ACTIVATION_REQUIRED
organization,active,suspend,suspended,system_or_authorized_operator,subscription_or_security_guard,block_new_consumption_keep_read_export_and_invalidate_leases,restore,ORG_SUSPENSION_CONFLICT
organization,suspended,restore,active,system_or_authorized_operator,payment_or_security_clear,refresh_entitlements_and_sessions,suspend,ORG_RESTORE_DENIED
organization,active,begin_closing,closing,owner,recent_auth_no_transfer_pending,start_export_cooling_off_and_invalidate_leases,cancel_closing,ORG_CLOSE_BLOCKED
organization,closing,cancel_closing,active,owner,recent_auth_before_execution,closure_job_cancelled_and_access_restored,begin_closing,ORG_CLOSE_BLOCKED
organization,closing,close,closed,retention_worker,window_elapsed_holds_evaluated,schedule_deletion_by_class_and_revoke_sessions,new_organization_from_export,LEGAL_HOLD_ACTIVE
organization,trial,begin_closing,closing,owner,recent_auth_no_transfer_pending,start_export_cooling_off_and_invalidate_leases,cancel_closing,ORG_CLOSE_BLOCKED
organization,suspended,begin_closing,closing,owner,recent_auth_no_transfer_pending,start_export_cooling_off_and_invalidate_leases,cancel_closing,ORG_CLOSE_BLOCKED
invitation,draft,queue,queued,authorized_admin,role_scope_valid,delivery_intent_created,revoke,INVITATION_INVALID
invitation,queued,mark_sent,sent,delivery_worker,provider_accepted,delivery_attempt_recorded,revoke,INVITATION_DELIVERY_FAILED
invitation,queued,delivery_fail,delivery_failed,delivery_worker,provider_terminal_error,notify_inviter,retry,INVITATION_DELIVERY_FAILED
invitation,delivery_failed,retry,queued,authorized_admin_or_worker,token_still_valid,new_delivery_attempt,revoke,INVITATION_INVALID
invitation,sent,accept,accepted,invitee,valid_token_terms_mfa,membership_activated_atomically,new_membership_revoke,MEMBERSHIP_INVITE_INVALID
invitation,sent,expire,expired,system,ttl_elapsed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
invitation,sent,revoke,revoked,authorized_admin,not_already_consumed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
invitation,queued,revoke,revoked,authorized_admin,not_already_consumed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
invitation,queued,expire,expired,system,ttl_elapsed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
invitation,delivery_failed,revoke,revoked,authorized_admin,not_already_consumed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
invitation,delivery_failed,expire,expired,system,ttl_elapsed,token_invalidated,new_invite,MEMBERSHIP_INVITE_INVALID
membership,invited,accept,active,invitee,accepted_invitation_terms_mfa,session_claims_refresh,suspend,MEMBERSHIP_INVITE_INVALID
membership,active,suspend,suspended,authorized_admin,not_final_owner,revoke_sessions_and_invalidate_actor_leases,reinstate,MEMBERSHIP_FINAL_OWNER
membership,suspended,reinstate,active,authorized_admin,scope_role_revalidated,membership_version_incremented,suspend,MEMBERSHIP_SCOPE_CONFLICT
membership,active,revoke,revoked,authorized_admin,offboarding_plan_consumable_and_not_final_owner,revoke_sessions_reassign_and_invalidate_actor_leases,new_invitation,MEMBERSHIP_FINAL_OWNER
membership,suspended,revoke,revoked,authorized_admin,offboarding_plan_consumable_and_not_final_owner,retain_authorship_remove_access_and_invalidate_actor_leases,new_invitation,MEMBERSHIP_FINAL_OWNER
evidence_request,open,fulfill,fulfilled,system,approved_linked_evidence_matches_requirement,request_closed_and_blocker_recomputed,new_request,EVIDENCE_REQUEST_CONFLICT
evidence_request,open,cancel,cancelled,requester_or_project_manager,reason_and_version_match,request_closed_blocker_unchanged,new_request,EVIDENCE_REQUEST_CONFLICT
evidence_request,open,expire,expired,system,due_at_elapsed,assignee_and_requester_notified,new_request,EVIDENCE_REQUEST_CONFLICT
ownership_transfer,requested,confirm_successor,successor_confirmed,named_successor,recent_auth_mfa_not_expired,completion_transaction_queued,cancel,OWNERSHIP_TRANSFER_CONFLICT
ownership_transfer,successor_confirmed,complete,completed,system,owner_and_successor_versions_unchanged,owner_role_swap_sessions_refresh,new_transfer,OWNERSHIP_TRANSFER_CONFLICT
ownership_transfer,requested,cancel,cancelled,current_owner_or_security,recent_auth_and_not_confirmed,cancel_receipt,new_transfer,OWNERSHIP_TRANSFER_CONFLICT
ownership_transfer,requested,expire,expired,system,ttl_elapsed,token_and_pending_acceptance_invalidated,new_transfer,OWNERSHIP_TRANSFER_EXPIRED
ownership_transfer,successor_confirmed,cancel,cancelled,current_owner_or_security,recent_auth_and_not_completed,cancel_receipt,new_transfer,OWNERSHIP_TRANSFER_CONFLICT
ownership_transfer,successor_confirmed,expire,expired,system,ttl_elapsed,token_and_pending_acceptance_invalidated,new_transfer,OWNERSHIP_TRANSFER_EXPIRED
project,draft,activate,active,owner_admin_or_project_manager,setup_complete_and_entitled,operational_commands_enabled,pause,PROJECT_STATE_CONFLICT
project,active,pause,paused,owner_admin_or_project_manager,reason_recorded,new_operational_commands_limited_and_project_leases_invalidated,resume,PROJECT_STATE_CONFLICT
project,paused,resume,active,owner_admin_or_project_manager,blocking_reason_cleared,operational_commands_enabled,pause,PROJECT_STATE_CONFLICT
project,active,complete,completed,owner_admin_or_project_manager,close_impact_previewed_and_contract_not_active,new_field_work_blocked_and_project_leases_invalidated,reopen,PROJECT_STATE_CONFLICT
project,completed,reopen,active,owner_admin_or_project_manager,reason_and_no_archive_started,operational_commands_enabled,complete,PROJECT_STATE_CONFLICT
project,completed,archive,archived,owner_or_admin,no_active_contract_or_open_close_or_export_job_and_no_open_receivable_or_pending_external_decision,read_only_metering_updated_and_project_leases_invalidated,create_linked_project,PROJECT_STATE_CONFLICT
contract,draft,activate,active,pto_or_commercial,published_version_exists,current_baseline_enabled,terminate,CONTRACT_STATE_CONFLICT
contract,active,complete,completed,pto_or_commercial,scope_complete,operational_history_retained_and_contract_leases_invalidated,reopen,CONTRACT_STATE_CONFLICT
contract,active,terminate,terminated,owner_or_commercial,reason_and_effective_date,history_retained_new_work_blocked_and_contract_leases_invalidated,new_contract,CONTRACT_STATE_CONFLICT
contract,completed,reopen,active,pto_or_commercial,reason_recent_auth_and_no_archived_project,new_contract_cycle_and_audit,complete,CONTRACT_STATE_CONFLICT
contract_version,draft,start_validation,validating,pto_or_commercial,source_and_mapping_present,validation_job_created,validation_fail,IMPORT_VALIDATION_FAILED
contract_version,validating,validation_pass,ready_to_publish,worker,no_row_errors_reconciliation_ready,impact_preview_available,new_contract_version,IMPORT_VALIDATION_FAILED
contract_version,validating,validation_fail,rejected,worker,terminal_validation_error,row_error_export_available,new_draft,IMPORT_VALIDATION_FAILED
contract_version,ready_to_publish,publish,published,pto_or_commercial,version_match_authorized_confirm,work_items_and_audit,new_version,VERSION_CONFLICT
contract_version,published,supersede,superseded,system,new_version_published,lineage_updated,new_version,VERSION_CONFLICT
import_job,queued,start,running,worker,lease_acquired,attempt_created,cancel,IMPORT_JOB_CONFLICT
import_job,running,retry,retry_wait,worker,retryable_failure_and_attempts_left,backoff_scheduled,cancel,IMPORT_JOB_CONFLICT
import_job,retry_wait,start,running,worker,backoff_elapsed_and_lease,new_attempt,cancel,IMPORT_JOB_CONFLICT
import_job,running,succeed,succeeded,worker,reconciliation_committed,result_available,new_job,IMPORT_JOB_CONFLICT
import_job,running,fail_terminal,failed_terminal,worker,non_retryable_or_exhausted,row_errors_and_receipt,new_job,IMPORT_JOB_CONFLICT
import_job,queued,cancel,cancelled,authorized_actor,cancellation_safe,cancel_receipt,new_job,IMPORT_JOB_CONFLICT
