resource,action,owner,admin,commercial_manager,pto_manager,project_manager,foreman,field_worker,internal_reviewer,estimator,accountant,viewer,integration_admin,security_admin,external_reviewer,scope_or_condition
organization,read,yes,yes,yes,yes,yes,limited,limited,project,project,project,yes,yes,yes,no,active membership
organization,update,yes,yes,no,no,no,no,no,no,no,no,no,no,security_fields,no,admin excludes ownership/billing owner
organization,transfer_ownership,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,recent auth current owner plus successor
organization,export_all,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,recent auth and export receipt
organization,close,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,recent auth cooling-off legal hold check
members,read,yes,yes,yes,yes,project,project,assigned_user,project,project,project,project,yes,yes,no,scope preserved; Pilot has no team/crew aggregate
members,invite,yes,yes,no,project,project,no,no,no,no,no,no,no,no,no,cannot grant higher role
members,revoke,yes,yes,no,no,no,no,no,no,no,no,no,no,security,no,organization-wide revoke requires owner admin or security admin and a consumable offboarding plan; cannot remove final owner
members,change_scope,yes,yes,no,no,no,no,no,no,no,no,no,no,security,no,organization-wide scope mutation requires owner admin or security admin; deny escalation and invalidate leases and sessions
project,create,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,entitlement limit
project,read,yes,yes,yes,yes,scoped,scoped,assigned,scoped,scoped,scoped,scoped,no,security_metadata,no,project/location scope
project,update,yes,yes,yes,yes,scoped,no,no,no,no,no,no,no,no,no,archived read-only
contract,read,yes,yes,yes,yes,scoped,limited,no,scoped,scoped,scoped,scoped,no,no,no,rates separate permission
contract,version_create,yes,yes,yes,yes,scoped,no,no,no,scoped,no,no,no,no,no,published immutable
contract,transition,yes,yes,yes,yes,scoped,no,no,no,no,no,no,no,no,no,exact version and project lifecycle guards; active contract blocks project completion/archive
work_item,read,yes,yes,yes,yes,scoped,scoped,assigned,scoped,scoped,scoped,scoped,no,no,no,location/rate visibility applies
work_item,create,yes,yes,yes,yes,scoped,no,no,no,scoped,no,no,no,no,no,single-item create must bind published contract version and audit source
work_item,assign,yes,yes,yes,yes,scoped,scoped,no,no,no,no,no,no,no,no,active project and target scope
quantity_entry,create,yes,yes,yes,yes,scoped,assigned,assigned,no,scoped,no,no,no,no,no,idempotent bounds and ledger
quantity_entry,correct,yes,yes,yes,yes,scoped,own_or_assigned,own_returned,no,scoped,no,no,no,no,no,append-only correction
evidence,create,yes,yes,yes,yes,scoped,assigned,assigned,no,no,no,no,no,no,no,rule file policy
evidence,read,yes,yes,yes,yes,scoped,scoped,assigned,scoped,scoped,scoped,scoped,no,no,token,external exact shared version
evidence,correct,yes,yes,yes,yes,scoped,own_or_assigned,own_returned,no,no,no,no,no,no,no,new derivative/revision
