task_id,release,epic,owner_role,task,depends_on,definition_of_done,test_ids,blocking_gate,status,size,subtasks
P0-A01,Pilot,P0-A,engineering,"Repository, protected main, environments and immutable build pipeline",none,preview/staging/production identities and secrets separated; build provenance stored,T-CI-001,PILOT-BLOCKER,not_started,M,
P0-A02,Pilot,P0-A,engineering,Ordered database migrations and synthetic seed fixtures,P0-A01,fresh install and every supported upgrade path succeed; rollback/forward plan recorded,T-MIG-001,PILOT-BLOCKER,not_started,L,
P0-A03,Pilot,P0-A,engineering,"Authentication, mandatory live-Pilot MFA, recovery and revoke",P0-A01,all live users enroll MFA; recovery cannot bypass it; session lifecycle and recent-auth policy implemented server-side,T-AUTH-001|T-ASVS-001,PILOT-BLOCKER,not_started,L,
P0-A04,Pilot,P0-A,engineering,"Organizations, legal entity, membership and invitations",P0-A02|P0-A03,owner created atomically; final owner invariant; accept/reissue/revoke are token-safe atomic commands,T-ORG-001|T-OFFBOARD-001|T-INVITATION-001,PILOT-BLOCKER,not_started,M,
P0-A05,Pilot,P0-A,engineering,Project/location scopes and deny-default authorization service,P0-A04,every action evaluates membership version and resource scope,T-RLS-001|T-TENANT-001,PILOT-BLOCKER,not_started,M,
P0-A06,Pilot,P0-A,engineering,"RLS, grants, storage policy and cross-tenant suite",P0-A05,"all negative tenant/project/location cases pass through API, DB, files and export",T-TENANT-001|T-STORAGE-001,PILOT-BLOCKER,not_started,L,
P0-A07,Pilot,P0-A,engineering,"Audit ledger, transactional outbox, idempotency store and correlation IDs",P0-A02,"privileged and financial commands append immutable audit/outbox in same transaction; audit REVOKE UPDATE/DELETE from all runtime roles, INSERT-only security-definer function, per-partition hash-chain and off-box WORM sink; tamper of a row via service_role/DBA breaks the chain and diverges from the off-box anchor and alerts",T-AUDIT-001|T-IDEMP-001,PILOT-BLOCKER,not_started,L,
P0-A08,Pilot,P0-A,engineering,Canonical state/error/OpenAPI/access/retention/UI-action/entity registries and CI reconciliation,P0-A02,every mutation maps to screen/API/permission/state/event/test; every SQL table maps to lifecycle class/disposal/hold policy; releases and aliases align; duplicate roles and JSON keys fail closed,T-API-001|T-ERROR-001|T-STATE-001|T-SCHEMA-001|T-SPEC-SEMANTIC-001,SPEC-BLOCKER,not_started,XL,(1) state/error registry reconciliation; (2) OpenAPI↔SQL parity; (3) access/retention/UI-action/entity registry reconciliation — CI-gated separately
P0-A09,Pilot,P0-A,security,ASVS 5.0.0 Pilot profile and MASVS/MASTG mobile profile,P0-A03|P0-A06,all applicable L1 plus selected L2 controls have release evidence; mobile profile selected and tested,T-ASVS-001|T-PRIVACY-001,PILOT-BLOCKER,not_started,M,
P0-A10,Pilot,P0-A,product_engineering,Public Pilot qualification intake and operational lead-store bridge,P0-A01|P0-G05,consent/privacy versions and idempotent uniform receipt stored; abuse throttled; contact/company/exact amount absent from analytics and logs,T-LEAD-001|T-RATE-LIMIT-001,PILOT-BLOCKER,not_started,M,
P0-B01,Pilot,P0-B,product_engineering,"Project, locations, counterparties, contract shell and single work command",P0-A06,authorized scoped CRUD; audited single item binds exact published contract version; no SaaS billing contamination,T-PROJECT-001|T-WORK-COMMAND-001,none,not_started,S,
P0-B02,Pilot,P0-B,engineering,"Purpose-bound upload intent, quarantine, scan and import job pipeline",P0-A07,server persists exact purpose/project/key/type/size/hash/expiry/server retention class before signing; verified row inherits class through composite FK; seal is immutable/idempotent; scan exposes async progress retry and terminal error,T-UPLOAD-001|T-UPLOAD-002|T-JOB-001|T-STORAGE-001,PILOT-BLOCKER,not_started,L,
