action_id,screen_id,action_key,release,operation_id,permission_resource,transition_domain,audit_event,test_ids,state_consequence
A-001,S02,submit_pilot_qualification,Pilot,submitPilotLead,none,none,pilot_form_submitted,T-LEAD-001,Opaque lead receipt only; no workspace is created.
A-002,S05,create_workspace,Pilot,createOrganization,organization,organization,workspace_created,T-ORG-001,Organization and owner membership commit atomically.
A-003,S36,update_workspace,Pilot,updateOrganization,organization,organization,organization_updated,T-ORG-001,Mutable settings change under ETag; lifecycle uses dedicated commands.
A-004,S36,request_closure,Pilot,requestOrganizationClosure,organization,organization|deletion_job,organization_closure_requested,T-CLOSURE-001,Organization enters closing and export-first cooling-off begins.
A-005,S36,cancel_closure,Pilot,cancelOrganizationClosure,organization,organization|deletion_job,organization_closure_cancelled,T-CLOSURE-001,Cooling-off job becomes cancelled and access returns.
A-006,S32,update_membership,Pilot,updateMembership,members,membership,membership_changed,T-INVITE-SCOPE-001|T-OFFBOARD-001,Non-owner role and nested scopes update with exact version; lifecycle state is excluded.
A-007,S09,send_invitation,Pilot,createInvitation,members,invitation,team_invitation_sent,T-INVITATION-001,One-time scoped invitation is queued.
A-008,S04,accept_invitation,Pilot,acceptInvitation,members,invitation|membership,team_invitation_accepted,T-INVITATION-001,Exactly one membership activates after server-verified MFA and terms.
A-009,S32,reissue_invitation,Pilot,reissueInvitation,members,invitation,team_invitation_sent|team_invitation_revoked,T-INVITATION-001,Prior token is invalidated and replacement delivery is queued.
A-010,S32,revoke_invitation,Pilot,revokeInvitation,members,invitation,team_invitation_revoked,T-INVITATION-001,Unused capability is revoked immediately.
A-011,S32,request_owner_transfer,GA,requestOwnershipTransfer,organization,ownership_transfer,ownership_transfer_requested,T-OWNERSHIP-001,Two-party transfer enters requested state.
A-012,S32,decide_owner_transfer,GA,decideOwnershipTransfer,organization,ownership_transfer,ownership_transfer_completed,T-OWNERSHIP-001,Successor confirmation or cancellation uses exact transfer version.
A-013,S06,create_project,Pilot,createProject,project,project,project_created,T-PROJECT-001,Draft project is created under entitlement limit.
A-014,S11,update_project,Pilot,updateProject,project,project,project_updated,T-PROJECT-001,Display metadata changes under ETag; lifecycle uses A-077 and commercial identities remain immutable snapshots.
A-015,S06,create_location,Pilot,createLocation,project,project,location_created,T-PROJECT-001,Location is created within project scope.
A-016,S13,create_work_item,Pilot,createWorkItem,work_item,work_item,work_item_created,T-WORK-COMMAND-001,Single item binds immutable published contract version.
A-018,S07|S26,create_upload_grant,Pilot,createUploadGrant,contract|evidence,upload_intent,upload_grant_issued,T-UPLOAD-001|T-UPLOAD-002,Purpose selects contract-import or evidence-create authority and server retention class; evidence additionally binds a scoped work item and stable client capture operation before an authorized immutable upload intent and short-lived grant are returned.
A-019,S07|S28,complete_upload,Pilot,completeUpload,contract|evidence,upload_intent,upload_completed,T-UPLOAD-001|T-UPLOAD-002,Completion transitions the exact authorized purpose key bytes hash type size and retention class to sealed and commits one verification job/receipt.
A-020,S07,start_estimate_import,Pilot,createEstimateImport,contract,import_job,estimate_import_started,T-IMPORT-001,Quarantined source begins dry-run validation.
A-021,S07,confirm_estimate_import,Pilot,confirmEstimateImport,contract,contract_version,estimate_import_confirmed,T-IMPORT-002,Published contract version and work items commit atomically.
A-022,S08,preview_rule_impact,Pilot,previewRuleImpact,rule,rule_version,rule_impact_previewed,T-RULE-002,Preview binds exact input hash without publishing.
A-023,S08,publish_rule_version,Pilot,publishProjectRuleVersion,rule,rule_version,rules_published,T-RULE-002,Immutable version publishes only from fresh acknowledged preview.
A-024,S40,create_occurrence_waiver,Pilot,createOccurrenceWaiver,occurrence,requirement_occurrence,readiness_override_created,T-WAIVER-001|T-SUBJECT-001,Time-bound waiver targets one exact occurrence and discloses affected quantity or value.
A-025,S26,submit_capture,Pilot,submitCaptureSession,evidence,capture_session,capture_submitted,T-CAPTURE-001,Idempotent server receipt binds evidence and quantity lineage.
A-026,S16,decide_capture,Pilot,decideCaptureSession,review,capture_session,review_approved|review_returned,T-REVIEW-002,Append-only approve or return decision triggers recompute.
A-027,S10,request_evidence,Pilot,createEvidenceRequest,evidence_request,evidence_request,evidence_request_created,T-EVIDENCE-REQUEST-001,Request stays open and blocker remains active.
A-028,S14,cancel_evidence_request,Pilot,cancelEvidenceRequest,evidence_request,evidence_request,evidence_request_resolved,T-EVIDENCE-REQUEST-001,Request closes with reason while blocker remains.
A-029,S19,create_period,Pilot,createPeriod,period,period,period_created,T-PREFLIGHT-001,Open reporting period is created idempotently.
A-030,S19,close_period,Pilot,closePeriod,period,period,period_closed,T-PREFLIGHT-001,Exact preflight version freezes closed period.
A-031,S19,reopen_period,Pilot,reopenPeriod,period,period,period_reopened,T-PERIOD-REOPEN-001,Eligible pre-submission period returns open without history rewrite.
A-032,S20,generate_package,Pilot,generatePackageVersion,package,package,package_generation_requested,T-PACK-001,Immutable snapshot commits and deterministic render queues.
A-033,S20,create_package_download,Pilot,createPackageDownloadGrant,package,none,package_download_grant_issued,T-EXPORT-001,Audited short-lived exact artifact grant is returned.
A-034,S21,record_submission,Pilot,recordPackageSubmission,package,package,package_submitted,T-SUBMIT-001,Exact package version receives operational submission receipt.
A-035,S21,record_manual_decision,Pilot,recordManualPackageDecision,package,package,package_decision_set_started,T-SUBMIT-001|T-PACKAGE-DECISION-002,Manual aggregate decision creates a source receipt and moves the package only to pending reconciliation.
A-036,S36,create_export,Pilot,createExport,export,export_job,organization_export_requested,T-EXPORT-002,Scoped asynchronous export snapshot begins.
A-037,S36,create_export_download,Pilot,createExportDownloadGrant,export,export_job,export_download_grant_issued,T-EXPORT-002,Recent-auth short-lived export download is issued.
A-038,platform_only,record_saas_payment,Pilot,recordSaasPayment,platform_saas_billing,saas_invoice,saas_payment_recorded,T-SAAS-PAYMENT-001,An isolated platform operator reconciles one exact bank settlement; a tenant user can never mark its own invoice paid or restore entitlement.
A-039,S35,preview_plan_change,GA,previewPlanChange,saas_subscription,subscription,plan_change_previewed,T-ENTITLEMENT-001,Exact price entitlement and resource impact preview is returned.
A-040,S35,request_plan_change,GA,requestPlanChange,saas_subscription,subscription,plan_changed,T-ENTITLEMENT-001,Confirmed preview queues effective plan change.
A-041,S35,change_subscription_state,GA,changeSubscriptionState,saas_subscription,subscription,subscription_state_changed,T-BILL-001,Cancel or reactivate preserves data and exact consequences.
A-042,platform_only,transition_saas_invoice,GA,transitionSaasInvoice,platform_saas_billing,saas_invoice,saas_invoice_state_changed,T-SAAS-DOC-001,An isolated platform operator appends cancel or credit history; tenant subscription-management permission never authorizes this command.
A-043,S18,create_variation,GA,createVariation,variation,variation,variation_created,T-VAR-001,Variation draft starts without mutating base contract.
A-044,S18,issue_variation,GA,issueVariation,variation,variation,variation_issued,T-VAR-001,Exact immutable variation version is issued.
A-045,S18,record_variation_decision,GA,recordVariationDecision,variation,variation,variation_acknowledged,T-VAR-002,Append-only exact-version decision is stored.
A-046,S21,create_external_share,GA,createExternalShare,package,external_share,external_share_created,T-EXT-001,Exact-resource capability is returned once.
A-047,S29,open_external_session,GA,openExternalReviewSession,package,external_share,external_share_opened,T-EXT-001,OTP and capability establish short-lived exact session.
A-048,S30,record_external_decision,GA,createExternalDecision,package,external_share,external_decision_recorded,T-EXT-002,Append-only external operational decision is stored.
A-049,S22,record_acceptance,GA,recordAcceptance,receivable,acceptance,acceptance_recorded,T-COMMERCIAL-LIFECYCLE-001,Acceptance basis and assurance are versioned.
A-050,S22,create_receivable,GA,createReceivable,receivable,receivable,receivable_created,T-COMMERCIAL-LIFECYCLE-001,Receivable draft derives from authorized acceptance.
A-051,S22,transition_receivable,GA,transitionReceivable,receivable,receivable,receivable_state_changed,T-COMMERCIAL-LIFECYCLE-001,Issue dispute resolve write-off or cancel follows state guards.
A-052,S22,adjust_receivable,GA,adjustReceivable,receivable,receivable,receivable_state_changed,T-COMMERCIAL-LIFECYCLE-001,Deduction credit debit or correction is append-only.
A-053,S22,release_retention,GA,releaseRetention,receivable,receivable,retention_released,T-COMMERCIAL-LIFECYCLE-001,Release cannot exceed retained amount.
A-054,S22,record_payment,GA,recordPayment,payment,receivable,payment_recorded,T-PAY-002,Payment and allocations commit atomically.
A-055,S22,reverse_payment,GA,reversePayment,payment,receivable,payment_reversed,T-COMMERCIAL-LIFECYCLE-001,Append-only reversal cannot exceed payment or allocations.
A-056,S22,import_payments,GA,createPaymentReconciliationImport,payment,job,payment_import_queued,T-COMMERCIAL-LIFECYCLE-001,CSV creates preview job and never commits money silently.
A-057,S34,create_integration,GA,createIntegration,integration,integration,integration_changed,T-INTEGRATION-LIFECYCLE-001,Scoped connection is created with secret returned once.
