capability_id,plane,description,related_operations,milestone,requires
workspace.manage,workspace,Manage workspace settings display identity and closure initiation,workspaces.create,v0.1-M1,
members.manage,workspace,Invite suspend and change governance roles; last-active-owner protected,invitations.create invitations.accept members.list,v0.1-M1,
parties.manage,workspace,"Create and edit parties and their legal profile. CORRECTED 2026-08-06: the previous text sent parties.legal_profile.put and the contact routes out of v0.1 with their tables — but party_legal_profiles is deployed (migration 0010) and parties.legal_profile.put is a v0.1-M1 row of technical/openapi/scope-v0.1.csv which is the route set authority at docs/README.md precedence level 3. ADR-006 decision 4 lists the tables v0.1 must BUILD and never removes a deployed one. There is still no contact route in either scope CSV — recorded on party_contacts in entity-catalog.csv ADDED 2026-08-18: party_contacts.create — a named person at a party is part of the party's record, so who may add one is who may edit the party; tightened to own_legal_profiles.manage for an OWN party exactly as the legal profile is (INV-020), through the same requirePartyEditCapability.",parties.create parties.update parties.legal_profile.put party_contacts.create,v0.1-M1,
own_legal_profiles.manage,workspace,Mark and govern own legal entities; stricter than parties.manage (INV-020). CORRECTED 2026-08-06 from v0.2: parties.own_profile.create is a v0.1-M1 row of scope-v0.1.csv the table is deployed (migration 0010) and INV-002 (P0) makes an own-legal-entity profile a precondition of every contract — v0.1-M1 cannot ship without it. This is the catalog following the route set and not a capability being added to v0.1,parties.own_profile.create,v0.1-M1,
projects.create,workspace,Create projects; atomically grants creator project.admin (INV-019),projects.create,v0.1-M1,
units.manage,workspace,Manage unit definitions and precision rules; NO operation in either scope CSV creates or edits a unit_definition — the catalog is schema-only and import validation merely reads it. The unit-management WORK is v0.2 (ADR-006 decision 5) because v0.1 needs only the units a manually entered work line carries; the unit_definitions table itself is deployed and is v0.1-M1 in entity-catalog.csv,none,v0.2,
requirement_templates.manage,workspace,Draft and publish immutable requirement template versions. A SHIPPED SURFACE AUTHORING A RETIRED MODEL: the model is retired by ADR-005 decision 2 and the term by glossary.md; the two operations exist in running code (apps/app/app/v1/workspaces/[workspaceId]/requirement-templates/route.ts and apps/app/app/v1/requirement-templates/[templateVersionId]/publish/route.ts) so this row records the runtime rather than approving it. Milestone corrected 2026-08-06 from v0.1-M2 to v0.1-M1 to match its two rows in scope-v0.1.csv — a capability may not date an operation differently from the route set. Retiring it needs its own slice — a route removal a capability removal a contracts change and the requirement_owner preset — and until that lands the free severity axis stays retired while the authoring path does not,requirement_templates.create requirement_templates.publish,v0.1-M1,
requirement_rules.manage,workspace,Publish and retire immutable requirement rule versions and read the shipped Додаток Н library; a published version is never updated (INV-067). Operation ids corrected 2026-08-06 — they were requirement_rules.publish/.retire which exist in NEITHER scope CSV; ADR-006 decision 4.1 removes requirement_rules from v0.1 so a version can no longer be published through a draft rule that does not exist and the routes are requirement_rule_versions.publish/.retire. In v0.1 the library is the only rule source; the publication command accepts intervention_type hold only and rejects witness and review (decision 4.3) and admits a hold whose blocking_scope is blocks_stage_closure rather than blocks_both because in a version with no packages the other half of both has nothing to block (decision 4.4) — both refusals are INV-082 and a v0.2 migration must widen every v0.1 hold to blocks_both (INV-066). CORRECTED 2026-08-28: requirement_library.list moved out of this row. The read is governed by active membership itself — rli_select admits any active member and the route has required membership with no capability gate since M1; its header recorded that this catalog owed the correction. The operation now stands with the deliberately capability-exempt rows in technical/openapi/README.md §Conventions,requirement_rule_versions.publish requirement_rule_versions.retire,v0.1-M1,
project_requirements.manage,workspace,Author and archive requirement items a workspace takes from its own робоча документація; the text and its citation are immutable and a correction is a new item plus an archive of the old one. Held by the same roles as requirement_rules.manage per ADR-010. The seeded Додаток Н library is a different table and still has no create operation in either scope CSV. CORRECTED 2026-08-28 (TODOS 2026-08-27 residual 6): project_requirements.list moved out of this row and «and read them back» left the first sentence — the list route requires ACTIVE MEMBERSHIP only and leaves the row filter to psri_select which admits any active member; the read now stands with the capability-exempt rows in technical/openapi/README.md §Conventions beside requirement_library.list whose row took the same correction,project_requirements.create project_requirements.archive,v0.1-M1,
rule_bindings.manage,project,Pin the exact requirement rule-version set to a contract version at baseline publication; the binding is immutable once the version is published (INV-080) and publication is REFUSED without it (INV-083). Merged into M1 by ADR-006 decision 3 — the milestone that publishes a baseline is now the milestone that binds its rules and no v0.1 baseline is published without a rule-version set; this closes the standing contradiction where an M1 baseline could never acquire a binding,contract_versions.bind_rules,v0.1-M1,
