rule_id,priority,command_class,organization_states,subscription_states,project_states,contract_states,work_phase,decision,lease_effect,test_ids,notes
CA-001,10,all_commands,closed,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001|T-LEASE-PARENT-001,Terminal organization permits only separately retained offline export artifacts and no interactive command.
CA-002,20,read_scoped,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,draft|active|paused|completed|archived,draft|active|completed|terminated,*,allow,none,T-READ-CLOSURE-001|T-COMMAND-AVAILABILITY-001,Read remains permission and scope filtered; suspended and closing are not authorization bypasses.
CA-003,20,export,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,draft|active|paused|completed|archived,draft|active|completed|terminated,*,allow,none,T-EXPORT-CANCEL-001|T-COMMAND-AVAILABILITY-001,Recent authentication entitlement retention and legal-hold guards still apply.
CA-004,20,payment_recovery,trial|active|suspended|closing,pilot|trialing|grace|suspended|cancelled|export_only,*,*,*,allow,none,T-PAYMENT-FINGERPRINT-001|T-COMMAND-AVAILABILITY-001,Allows settlement and explicit correction needed to restore or close service.
CA-005,20,support_security_recovery,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,*,*,*,allow,invalidate_if_auth_changes,T-OFFBOARD-SCALE-001|T-COMMAND-AVAILABILITY-001,Recent MFA exact scope TTL and independent security controls remain mandatory.
CA-006,30,member_security_change,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,*,*,*,allow,invalidate_actor,T-OFFBOARD-SCALE-001|T-LEASE-PARENT-001,Membership suspension revoke scope removal and session response remain available for risk reduction.
CA-007,30,process_already_received,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,draft|active|paused|completed|archived,draft|active|completed|terminated,server_received|scanning|pending_review,allow,do_not_issue_new,T-COMMAND-AVAILABILITY-001|T-OFFLINE-REVOKE-001,Only commands for an object durably received before the parent change may progress it to an auditable safe state.
CA-008,30,review_existing,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,active|paused|completed,active|completed|terminated,pending_review|returned|approved,allow,do_not_issue_new,T-REVIEW-CORRECTION-001|T-COMMAND-AVAILABILITY-001,Review and guarded correction may finish existing work but cannot create new field authority.
CA-009,35,first_seen_offline_capture,trial|active,pilot|trialing|active|grace,active,active,lease_valid,allow,retain,T-OFFLINE-REVOKE-001|T-LEASE-PARENT-001,All signed parent versions and server validity must still match at first receipt. Non-restrictive parent upgrades are not a lease mismatch per doc 23 §6.
CA-010,35,first_seen_offline_capture,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,draft|active|paused|completed|archived,draft|active|completed|terminated,lease_invalidated_or_parent_mismatch,quarantine,invalidate,T-OFFLINE-REVOKE-001|T-LEASE-PARENT-001,Server cannot infer that unseen bytes existed before invalidation; security recovery is separate. Mismatch means restrictive transitions only per doc 23 §6.
