profile_item,standard_ref,required_level,release,applicability,aktflow_control,evidence,test_ids,status,waiver_policy
ASVS-BASE-PILOT,OWASP-ASVS-v5.0.0:all-applicable-L1,L1,Pilot,all enabled web BFF API worker and admin surfaces,All applicable L1 requirements are mandatory; N/A requires threat-model rationale,Completed upstream checklist plus implementation and test references,T-ASVS-001,specified_no_runtime_evidence,No waiver for tenant isolation auth bypass remote code execution secret exposure or unrecoverable data loss
ASVS-BASE-GA,OWASP-ASVS-v5.0.0:all-applicable-L2,L2,GA,all production web BFF API worker external and support surfaces,All applicable L1 and L2 requirements; independent sampling before GA,Signed independent assessment and remediation retest,T-ASVS-001|T-SECURITY-REVIEW-001,specified_no_runtime_evidence,Only time-bound documented low/medium exception with compensating control owner and expiry
ASVS-API-01,v5.0.0-4.1.1,L1,Pilot,every HTTP response,Content-Type and charset match actual success/problem/download body,Contract and runtime response corpus,T-API-001|T-ERROR-001,specified_no_runtime_evidence,none
ASVS-API-02,v5.0.0-4.1.2,L2-selected,Pilot,API transport,Non-browser API never relies on HTTP-to-HTTPS redirect; plaintext is rejected at edge,Edge configuration and network test,T-ASVS-001,specified_no_runtime_evidence,none
ASVS-API-03,v5.0.0-4.1.3,L2-selected,Pilot,proxy and BFF headers,Client cannot override trusted actor proxy or request-context headers,Header-spoofing integration report,T-ASVS-001|T-TENANT-001,specified_no_runtime_evidence,none
ASVS-FILE-01,v5.0.0-5.1.1,L2-selected,Pilot,estimate evidence and package attachments,Per-purpose type extension size unpacked-size and malicious-file behavior documented,Capture/upload policy and fixtures,T-UPLOAD-001|T-CAPTURE-002,specified_no_runtime_evidence,none
ASVS-FILE-02,v5.0.0-5.2.1,L1,Pilot,all uploads,Early per-file/request/tenant size limits and backpressure,Limit configuration and load/abuse results,T-UPLOAD-001|T-PERF-001,specified_no_runtime_evidence,none
ASVS-FILE-03,v5.0.0-5.2.2,L1,Pilot,all uploads,Declared extension/MIME plus server-detected content and specialized parser validation,Malicious/polyglot fixture report,T-UPLOAD-001,specified_no_runtime_evidence,none
ASVS-FILE-04,v5.0.0-5.2.3,L2-selected,Pilot,compressed office/archive files,File count and uncompressed size checked before extraction,Zip-bomb and corrupt-office fixtures,T-UPLOAD-001,specified_no_runtime_evidence,none
ASVS-FILE-05,v5.0.0-5.3.1,L1,Pilot,object storage,Private non-executable buckets; no untrusted file under web root,Storage configuration and direct-request tests,T-STORAGE-001,specified_no_runtime_evidence,none
ASVS-FILE-06,v5.0.0-5.3.2,L1,Pilot,object keys and server processing,Server-generated object keys; user filenames are display metadata only,Path traversal and encoded-path suite,T-STORAGE-001|T-UPLOAD-001,specified_no_runtime_evidence,none
ASVS-FILE-07,v5.0.0-5.4.1|v5.0.0-5.4.2,L2-selected,Pilot,downloads,Content-Disposition filename is generated/sanitized and encoded,Header-injection download corpus,T-EXPORT-001|T-STORAGE-001,specified_no_runtime_evidence,none
