surface_id,object_type,schema,object_name,release,consumer,db_role,privileges,access_path,rls_policy_family,client_exposed,status,notes
DA-001,view,api,project_list,Pilot,browser_mobile,authenticated,SELECT,Supabase Data API,org_project_scope,true,normative,"Only reviewed low-risk projection; api is exposed, public is not."
DA-145,table,public,telegram_chat_bindings,Pilot,bff,goproceed_app,SELECT,Direct PostgreSQL from BFF,project_view,false,normative,"Group title and health only; binding writes are service-plane. project_access.revoke reads only whether a live binding exists (telegramGroupBound, ADR-014 decision 5, DEV-050), under the actor's project.admin, before its update."
DA-146,table,public,communication_messages,Pilot,bff,goproceed_app,SELECT,Direct PostgreSQL from BFF,project_view,false,normative,Normalized timeline only; no raw provider payload.
DA-147,table,public,communication_message_events,Pilot,bff,goproceed_app,SELECT,Direct PostgreSQL from BFF,project_view,false,normative,Append-only edit and delivery history.
DA-148,column_set,public,communication_attachments,Pilot,bff,goproceed_app,SELECT safe columns,Direct PostgreSQL from BFF,project_view,false,normative,Provider file handles are excluded from the column grant; so are the four retry-lease columns of 0069 (provider_retry_attempts provider_next_retry_at provider_retry_lease_token provider_retry_lease_expires_at) — on purpose since 2026-09-03 (ADR-011 open item 5); the m5 sweep asserts all six as meant to be withheld.
DA-149,table,public,telegram_inbox_updates,Pilot,internal_worker,none,none,SECURITY DEFINER lease functions only (app.enqueue/claim/complete/fail_telegram_inbox; app.retry_telegram_decision_inbox); no migration grants it to goproceed_service and 0062:621 revokes it explicitly,service_only,false,normative,Raw webhook JSON is not member-plane readable and is cleared terminally. Corrected 2026-09-16 (DEV-013): this row showed SELECT|UPDATE for goproceed_service after 0062 revoked it.
DA-150,function,app,resolve_telegram_chat,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Exact bot and chat identity resolution.
DA-151,function,app,consume_telegram_binding_intent,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Atomically consumes the intent matching one of up to eight (key id; verifier) candidates; creates the binding; marks health; returns the intent id (0085).
DA-152,function,app,consume_telegram_member_link_intent,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Atomically consumes the member link intent matching one of up to eight (key id; verifier) candidates and returns the intent id (0085).
DA-153,function,app,claim_telegram_inbox,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,SKIP LOCKED due-row lease claim.
DA-154,function,app,complete_telegram_inbox,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Terminal success clears raw payload.
DA-155,function,app,fail_telegram_inbox,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Terminal failure clears raw payload.
DA-156,function,app,claim_outbox_topic,Pilot,internal_worker,goproceed_service,EXECUTE,SECURITY DEFINER function,service_only,false,normative,Topic-filtered lease claim prevents cross-consumer delivery.
DA-002,table,public,organizations,Pilot,bff,goproceed_app,SELECT|INSERT,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No UPDATE and no DELETE: 0039 withdrew the UPDATE grant (no UPDATE policy ever existed). Domain command and audit required for mutation.
DA-003,table,public,legal_entities,Pilot,bff,goproceed_app,SELECT|INSERT,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No UPDATE and no DELETE: No UPDATE grant exists (0003 granted SELECT and INSERT only; observed 2026-09-25, DEV-077). Domain command and audit required for mutation.
DA-004,table,public,branches,GA,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-005,table,public,memberships,Pilot,bff,goproceed_app,SELECT|INSERT,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No UPDATE and no DELETE: 0103 withdrew the UPDATE grant (no UPDATE policy ever existed; DEV-077). Domain command and audit required for mutation.
DA-006,table,public,invitations,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-007,table,public,projects,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-008,table,public,counterparties,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-009,table,public,counterparty_contacts,GA,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-010,table,public,project_counterparties,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-011,table,public,locations,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-012,table,public,membership_project_scopes,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-013,table,public,membership_location_scopes,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
DA-014,table,public,contracts,Pilot,bff,goproceed_app,SELECT|INSERT|UPDATE,Direct PostgreSQL from BFF,org_role_project_location_state,false,normative,No DELETE; domain command and audit required for mutation.
