domain,state,storage_scope,release,terminal,ui_uk,definition
organization,trial,server,Pilot,false,Пілотний простір,Organization exists under a qualified Pilot subscription and remains exportable
organization,active,server,Pilot,false,Активна,Organization may consume features allowed by its effective entitlement
organization,suspended,server,Pilot,false,Призупинена,New consumption is blocked while read export pay and support remain
organization,closing,server,Pilot,false,Закривається,Closure cooling-off and export process is active
organization,closed,server,Pilot,true,Закрита,Interactive use ended and retention policy controls remaining data
invitation,draft,server,Pilot,false,Чернетка,Invite has not been queued for delivery
invitation,queued,server,Pilot,false,У черзі,Delivery intent is committed
invitation,sent,server,Pilot,false,Надіслано,One-time token is awaiting use
invitation,accepted,server,Pilot,true,Прийнято,Invite created or activated exactly one membership
invitation,expired,server,Pilot,true,Строк минув,Token is unusable after TTL
invitation,revoked,server,Pilot,true,Відкликано,Authorized actor invalidated the token
invitation,delivery_failed,server,Pilot,false,Не доставлено,Delivery failed and may be retried with a new attempt
membership,invited,server,Pilot,false,Запрошено,Membership shell exists but cannot authorize requests
membership,active,server,Pilot,false,Активний доступ,Membership may authorize within role and scopes
membership,suspended,server,Pilot,false,Призупинено,Temporary access block preserving history
membership,revoked,server,Pilot,true,Відкликано,Access is removed and history remains attributed
ownership_transfer,requested,server,GA,false,Передачу запитано,Current owner initiated a time-bound two-party transfer
ownership_transfer,successor_confirmed,server,GA,false,Наступника підтверджено,Successor completed recent-auth acceptance and atomic completion is pending
ownership_transfer,completed,server,GA,true,Власника змінено,Exactly one successor became owner and previous owner role was adjusted atomically
ownership_transfer,cancelled,server,GA,true,Передачу скасовано,Authorized actor cancelled before completion without changing ownership
ownership_transfer,expired,server,GA,true,Строк передачі минув,Time window elapsed and the successor can no longer confirm
project,draft,server,Pilot,false,Чернетка,Project setup is incomplete and cannot receive live capture
project,active,server,Pilot,false,Активний,Project accepts scoped operational commands
project,paused,server,Pilot,false,На паузі,New operational work is limited while reads remain
project,completed,server,Pilot,false,Завершений,Operational work ended but close and commercial history remain
project,archived,server,Pilot,true,Архівний,Read-only project excluded from active-project metering
contract,draft,server,Pilot,false,Чернетка,Contract shell is not the active baseline
contract,active,server,Pilot,false,Активний,At least one published version forms the current baseline
contract,completed,server,Pilot,false,Завершений,Scope is complete but may be explicitly reopened while retained history stays immutable
contract,terminated,server,Pilot,true,Припинений,Contract ended by explicit reason without deleting history
contract_version,draft,server,Pilot,false,Чернетка,Editable mapping and source metadata before validation
contract_version,validating,server,Pilot,false,Перевіряється,Dry-run validation is executing
contract_version,ready_to_publish,server,Pilot,false,Готова до публікації,Validation passed and impact preview awaits confirmation
contract_version,published,server,Pilot,false,Опублікована,Immutable baseline version used by work items
contract_version,superseded,server,Pilot,true,Замінена,A newer published version is current while this remains reproducible
contract_version,rejected,server,Pilot,true,Відхилена,Validation or authorization rejected publication
work_item,planned,projection,Pilot,false,Заплановано,No assignment exists and net performed quantity is zero
work_item,assigned,projection,Pilot,false,Призначено,At least one non-cancelled assignment is planned assigned or accepted and no higher projection condition wins
