event_name,version,trigger,required_properties,pii_policy,primary_metric
landing_viewed,1,public landing rendered,"locale,source,campaign,device_class",no identifiers beyond anonymous session,acquisition
demo_workspace_opened,1,demo CTA succeeds,"source,role_view",synthetic workspace only,acquisition
pilot_form_started,1,first meaningful pilot input,"source,company_size_bucket,specialization",no company/contact in analytics,pilot funnel
pilot_form_submitted,1,server accepted pilot lead,"source,company_size_bucket,active_projects_bucket",contact stays CRM/operational store,pilot funnel
workspace_created,1,organization transaction committed,"org_id_pseudo,creator_role",pseudonymous org only,activation
organization_updated,1,versioned organization settings command committed,"actor_role,changed_field_classes",no organization identity or raw values,workspace governance
membership_changed,1,membership role scope or status committed,"actor_role,target_role,change_type,scope_type",no email/name/access detail,security governance
ownership_transfer_requested,1,two-party ownership transfer request committed,"requester_role,successor_role,expiry_bucket",no user identity contact or token,security governance
ownership_transfer_completed,1,two-party transfer transaction committed,"previous_owner_role,new_owner_role,duration_bucket",no user identity/contact,security governance
project_created,1,project committed,"org_id_pseudo,project_id_pseudo,template_type",no project name,activation
project_updated,1,versioned project command committed,"actor_role,changed_field_classes,state",no project name address or customer value,project governance
location_created,1,project location committed,"actor_role,depth_bucket,source_type",no location name path or address,activation
estimate_import_started,1,validated file queued,"format,size_bucket,row_bucket",no filename/content,activation
estimate_import_validated,1,dry run completed,"format,row_bucket,valid_bucket,error_types,duration_bucket",no row content,import quality
estimate_import_confirmed,1,contract version committed,"format,row_bucket,warning_bucket,duration_bucket",no commercial exact values,activation
rule_impact_previewed,1,version-bound rule impact preview stored,"pack_type,rule_count_bucket,affected_items_bucket,warning_bucket",no custom rule text work text or exact value,configuration safety
rules_published,1,rule pack version published,"pack_type,rule_count_bucket,affected_items_bucket",no custom rule text,activation
team_invitation_sent,1,invite delivery queued,"inviter_role,invitee_role,scope_type",no email,collaboration
team_invitation_accepted,1,invite and membership transaction committed,"invitee_role,scope_type,mfa_strength",no email token name or organization title,activation
team_invitation_revoked,1,unused invitation revoked or replaced,"actor_role,invitee_role,reason_code",no email token or recipient identity,security governance
work_item_created,1,single work item committed,"creator_role,source_type,unit_code,contract_version_age_bucket",no description code rate or exact quantity,activation
work_assignment_changed,1,work assignment or state command committed,"actor_role,target_role,scope_type,state",no work description assignee identity or exact value,field governance
evidence_request_created,1,scoped request committed,"requester_role,assignee_role,requirement_type,due_bucket",no instructions names exact work text or amount,review quality
evidence_request_resolved,1,request fulfilled cancelled or expired,"result,reason_code,duration_bucket,requirement_type",no instructions actor identity or exact work text,review quality
assignment_opened,1,field user views assignment,"platform,role,connectivity,state",no work description,field adoption
capture_started,1,local capture session created,"platform,connectivity,requirement_type",no media/location,field funnel
upload_grant_issued,1,short-lived private upload capability committed,"purpose,type_bucket,size_bucket,actor_role",no storage key filename content or capability,upload reliability
upload_completed,1,declared upload sealed and verification queued,"purpose,type_bucket,size_bucket,result",no filename storage key hash or content,upload reliability
