object_name,release,retention_class_source,allowed_classes,personal_data,legal_hold_behavior,deletion_strategy,policy_status,external_gate,notes
organizations,Pilot,fixed:identity_access,identity_access,possible,evaluate,anonymize_or_retain_basis,duration_external_gate,V-003,Tenant root survives only where a legal or security basis remains
communication_messages,Pilot,fixed:customer_communication,customer_communication,yes,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Message text and provider user identifiers are customer data; no duration is invented before M0 approval. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
communication_message_events,Pilot,inherits:communication_messages,customer_communication,possible,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Edit and delivery history is retained with its normalized message. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
communication_attachments,Pilot,fixed:customer_communication,customer_communication,possible,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Metadata remains customer communication; provider handle is cleared at terminal processing. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_inbox_updates,Pilot,fixed:operational_security,operational_security,possible,evaluate,retain_hash_and_disposition_only,duration_external_gate,V-003,Raw webhook JSON is cleared after terminal normalized processing while hash and disposition remain. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_member_links,Pilot,fixed:customer_identity,customer_identity,yes,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Provider user identifier and display snapshots are customer identity data. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_chat_bindings,Pilot,fixed:customer_communication,customer_communication,possible,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Project group identity and title snapshot remain customer communication metadata without an invented duration. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_binding_intents,Pilot,fixed:operational_security,operational_security,possible,evaluate,retain_hash_and_disposition_only,duration_external_gate,V-003,One-time token verifier and consumption receipt are retained only under the approved M0 schedule. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_member_link_intents,Pilot,fixed:operational_security,operational_security,possible,evaluate,retain_hash_and_disposition_only,duration_external_gate,V-003,One-time member-link verifier and consumption receipt have no independently invented duration. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
telegram_media_groups,Pilot,inherits:communication_messages,customer_communication,possible,evaluate,retain_until_approved_m0_schedule,duration_external_gate,V-003,Album grouping and processing outcome follow normalized conversation retention. Duration comes from app.retention_policy (0081) applied by app.apply_communication_retention: customer_communication reaches messages edit events and attachment filenames only; customer_identity reaches revoked telegram_member_links (by revoked_at) only — never an active link; operational_security deletes terminal telegram_inbox_updates rows (payload already NULL by the table's CHECK — this class bounds growth and clears no payload) and consumed/expired rows of telegram_binding_intents and telegram_member_link_intents; a NULL duration is inert for that class regardless of the other classes; a retention surrogate is per subject per class — a stale subject's messages and its revoked link may carry two different surrogates — while the request path runs every step under one surrogate.
